date,total,month,week,quarter,is_weekend,total:10_days_rolling,total:30_days_rolling,total:50_days_rolling,is_closed,is_suspicious_zero,store_open,weekly_total_diff,day_of_week,month_name,week_of_year,is_holiday,days_to_next_holiday,lag_1,lag_7,lag_14
2022-12-22,1126.0,12,51,4,0,383.2,292.96666666666664,257.12,False,False,1,901.0,Thursday,December,51,0,3,605.0,225.0,116.0
2022-12-23,1266.0,12,51,4,0,475.1,329.3,276.7,False,False,1,761.0,Friday,December,51,0,2,1126.0,505.0,280.0
2022-12-24,1470.0,12,51,4,1,581.7,369.8333333333333,300.4,False,False,1,720.0,Saturday,December,51,0,1,1266.0,750.0,335.0
2022-12-25,0.0,12,51,4,1,715.7,415.6666666666667,329.44,True,False,0,-437.0,Sunday,December,51,1,0,1470.0,437.0,559.0
2022-12-26,424.0,12,52,4,0,693.2,392.6666666666667,328.9,False,False,1,174.0,Monday,December,52,1,0,0.0,250.0,207.0
2022-12-27,320.0,12,52,4,0,685.1,393.76666666666665,332.18,False,False,1,-203.0,Tuesday,December,52,0,5,424.0,523.0,200.0
2022-12-28,556.0,12,52,4,0,642.1,396.6666666666667,336.96,False,False,1,-49.0,Wednesday,December,52,0,4,320.0,605.0,130.0
2022-12-29,425.0,12,52,4,0,654.0,407.56666666666666,341.96,False,False,1,-701.0,Thursday,December,52,0,3,556.0,1126.0,225.0
2022-12-30,624.0,12,52,4,0,671.5,417.73333333333335,348.0,False,False,1,-642.0,Friday,December,52,0,2,425.0,1266.0,505.0
2022-12-31,417.0,12,52,4,1,681.6,434.6333333333333,358.68,False,False,1,-1053.0,Saturday,December,52,0,1,624.0,1470.0,750.0
2023-02-01,90.0,2,5,1,0,662.8,444.03333333333336,364.86,False,False,1,90.0,Wednesday,February,5,0,19,417.0,0.0,437.0
2023-02-02,65.0,2,5,1,0,559.2,441.7,363.06,False,False,1,-359.0,Thursday,February,5,0,18,90.0,424.0,250.0
2023-02-03,156.0,2,5,1,0,439.1,426.73333333333335,359.52,False,False,1,-164.0,Friday,February,5,0,17,65.0,320.0,523.0
2023-02-04,660.0,2,5,1,1,307.7,423.43333333333334,350.7,False,False,1,104.0,Saturday,February,5,0,16,156.0,556.0,605.0
2023-02-05,52.0,2,5,1,1,373.7,440.93333333333334,363.0,False,False,1,-373.0,Sunday,February,5,0,15,660.0,425.0,1126.0
2023-02-06,130.0,2,6,1,0,336.5,434.93333333333334,356.48,False,False,1,-494.0,Monday,February,6,0,14,52.0,624.0,1266.0
2023-02-08,384.0,2,6,1,0,261.9,426.23333333333335,350.28,False,False,1,-33.0,Wednesday,February,6,0,12,130.0,417.0,1470.0
2023-02-09,230.0,2,6,1,0,257.8,429.7,347.22,False,False,1,140.0,Thursday,February,6,0,11,384.0,90.0,0.0
2023-02-10,126.0,2,6,1,0,218.4,426.2,348.44,False,False,1,61.0,Friday,February,6,0,10,230.0,65.0,424.0
2023-02-11,1000.0,2,6,1,1,189.3,411.76666666666665,346.2,False,False,1,844.0,Saturday,February,6,0,9,126.0,156.0,320.0
2023-02-12,150.0,2,6,1,1,280.3,438.2,365.48,False,False,1,-510.0,Sunday,February,6,0,8,1000.0,660.0,556.0
2023-02-13,270.0,2,7,1,0,288.8,436.53333333333336,367.48,False,False,1,218.0,Monday,February,7,0,7,150.0,52.0,425.0
2023-02-14,210.0,2,7,1,0,300.2,441.2,370.98,False,False,1,80.0,Tuesday,February,7,0,6,270.0,130.0,624.0
2023-02-15,117.0,2,7,1,0,255.2,440.7,361.38,False,False,1,-267.0,Wednesday,February,7,0,5,210.0,384.0,417.0
2023-02-16,174.0,2,7,1,0,261.7,427.76666666666665,355.9,False,False,1,-56.0,Thursday,February,7,0,4,117.0,230.0,90.0
2023-02-17,305.0,2,7,1,0,266.1,408.56666666666666,354.72,False,False,1,179.0,Friday,February,7,0,3,174.0,126.0,65.0
2023-02-18,306.0,2,7,1,1,296.6,404.1666666666667,356.24,False,False,1,-694.0,Saturday,February,7,0,2,305.0,1000.0,156.0
2023-02-19,308.0,2,7,1,1,288.8,406.03333333333336,359.96,False,False,1,158.0,Sunday,February,7,0,1,306.0,150.0,660.0
2023-02-20,342.0,2,8,1,0,296.6,398.8666666666667,363.78,False,False,1,72.0,Monday,February,8,1,0,308.0,270.0,52.0
2023-02-21,108.0,2,8,1,0,318.2,390.1,367.92,False,False,1,-102.0,Tuesday,February,8,0,30,342.0,210.0,130.0
2023-02-22,918.0,2,8,1,0,229.0,356.1666666666667,366.88,False,False,1,801.0,Wednesday,February,8,0,30,108.0,117.0,384.0
2023-02-23,90.0,2,8,1,0,305.8,344.56666666666666,374.96,False,False,1,-84.0,Thursday,February,8,0,30,918.0,174.0,230.0
